Seguimiento de la demanda de energía eléctrica (MW)

Hora,Real,Prevista,Programada
"2025-07-28 21:00","34464","34939","34729",
"2025-07-28 21:05","34447","35079","34729",
"2025-07-28 21:10","34457","35134","34729",
"2025-07-28 21:15","34611","35104","34433",
"2025-07-28 21:20","34611","35037","34433",
"2025-07-28 21:25","34695","34977","34433",
"2025-07-28 21:30","34749","34925","34434",
"2025-07-28 21:35","34786","34866","34434",
"2025-07-28 21:40","34948","34787","34434",
"2025-07-28 21:45","34861","34687","34723",
"2025-07-28 21:50","34730","34578","34723",
"2025-07-28 21:55","34754","34472","34723",
"2025-07-28 22:00","34558","34410","34482",
"2025-07-28 22:05","34237","34297","34482",
"2025-07-28 22:10","34261","34160","34482",
"2025-07-28 22:15","34028","34001","33823",
"2025-07-28 22:20","33899","33825","33823",
"2025-07-28 22:25","33766","33641","33823",
"2025-07-28 22:30","33568","33449","33082",
"2025-07-28 22:35","33193","33253","33082",
"2025-07-28 22:40","32996","33058","33082",
"2025-07-28 22:45","32866","32864","32576",
"2025-07-28 22:50","32638","32654","32576",
"2025-07-28 22:55","32444","32411","32576",
"2025-07-28 23:00","31926","32089","31225",
"2025-07-28 23:05","31644","31814","31225",
"2025-07-28 23:10","31539","31575","31225",
"2025-07-28 23:15","31215","31370","30632",
"2025-07-28 23:20","30953","31183","30632",
"2025-07-28 23:25","30785","30993","30632",
"2025-07-28 23:30","30604","30802","30331",
"2025-07-28 23:35","30120","30613","30331",
"2025-07-28 23:40","30202","30429","30331",
"2025-07-28 23:45","29960","30252","29433",
"2025-07-28 23:50","29747","30083","29433",
"2025-07-28 23:55","29476","29927","29433",
"2025-07-29 00:00","29107","29633","29078",
"2025-07-29 00:05","29065","29493","29078",
"2025-07-29 00:10","29165","29346","29078",
"2025-07-29 00:15","29178","29192","28716",
"2025-07-29 00:20","29168","29038","28716",
"2025-07-29 00:25","29082","28890","28716",
"2025-07-29 00:30","28965","28748","28419",
"2025-07-29 00:35","28799","28609","28419",
"2025-07-29 00:40","28769","28470","28419",
"2025-07-29 00:45","28603","28332","28301",
"2025-07-29 00:50","28317","28197","28301",
"2025-07-29 00:55","28204","28069","28301",
"2025-07-29 01:00","27868","27830","27515",
"2025-07-29 01:05","27603","27713","27515",
"2025-07-29 01:10","27601","27594","27515",
"2025-07-29 01:15","27503","27473","27213",
"2025-07-29 01:20","27487","27352","27213",
"2025-07-29 01:25","27307","27233","27213",
"2025-07-29 01:30","27078","27117","26809",
"2025-07-29 01:35","26971","27001","26809",
"2025-07-29 01:40","26834","26885","26809",
"2025-07-29 01:45","26865","26769","26615",
"2025-07-29 01:50","26731","26658","26615",
"2025-07-29 01:55","26678","26560","26615",
"2025-07-29 02:00","26454","26393","26298",
"2025-07-29 02:05","26185","26311","26298",
"2025-07-29 02:10","26175","26225","26298",
"2025-07-29 02:15","26192","26135","26040",
"2025-07-29 02:20","26019","26046","26040",
"2025-07-29 02:25","25921","25964","26040",
"2025-07-29 02:30","25916","25889","25892",
"2025-07-29 02:35","25940","25821","25892",
"2025-07-29 02:40","25840","25762","25892",
"2025-07-29 02:45","25598","25711","25452",
"2025-07-29 02:50","25786","25658","25452",
"2025-07-29 02:55","25672","25593","25452",
"2025-07-29 03:00","25577","25465","25179",
"2025-07-29 03:05","25561","25391","25179",
"2025-07-29 03:10","25606","25338","25179",
"2025-07-29 03:15","25388","25304","25183",
"2025-07-29 03:20","25290","25278","25183",
"2025-07-29 03:25","25194","25248","25183",
"2025-07-29 03:30","25210","25214","25079",
"2025-07-29 03:35","25215","25183","25079",
"2025-07-29 03:40","25271","25160","25079",
"2025-07-29 03:45","25106","25144","25178",
"2025-07-29 03:50","24960","25123","25178",
"2025-07-29 03:55","25136","25083","25178",
"2025-07-29 04:00","25242","24990","24974",
"2025-07-29 04:05","25090","24933","24974",
"2025-07-29 04:10","25179","24899","24974",
"2025-07-29 04:15","25109","24889","24926",
"2025-07-29 04:20","24860","24886","24926",
"2025-07-29 04:25","24775","24873","24926",
"2025-07-29 04:30","24850","24852","24882",
"2025-07-29 04:35","24821","24837","24882",
"2025-07-29 04:40","25103","24844","24882",
"2025-07-29 04:45","24812","24874","24913",
"2025-07-29 04:50","24922","24890","24913",
"2025-07-29 04:55","24957","24857","24913",
"2025-07-29 05:00","24928","24758","24773",
"2025-07-29 05:05","25118","24686","24773",
"2025-07-29 05:10","25199","24689","24773",
"2025-07-29 05:15","24995","24766","25012",
"2025-07-29 05:20","25187","24882","25012",
"2025-07-29 05:25","25133","25002","25012",
"2025-07-29 05:30","25195","25127","25534",
"2025-07-29 05:35","25275","25259","25534",
"2025-07-29 05:40","25322","25405","25534",
"2025-07-29 05:45","25390","25563","25659",
"2025-07-29 05:50","25731","25740","25659",
"2025-07-29 05:55","25769","25943","25659",
"2025-07-29 06:00","26129","26178","26618",
"2025-07-29 06:05","26806","26409","26618",
"2025-07-29 06:10","26978","26619","26618",
"2025-07-29 06:15","27131","26807","27294",
"2025-07-29 06:20","27438","26989","27294",
"2025-07-29 06:25","27482","27176","27294",
"2025-07-29 06:30","27414","27368","27716",
"2025-07-29 06:35","27874","27559","27716",
"2025-07-29 06:40","27811","27741","27716",
"2025-07-29 06:45","28125","27912","28235",
"2025-07-29 06:50","28360","28086","28235",
"2025-07-29 06:55","28359","28277","28235",
"2025-07-29 07:00","28611","28551","29022",
"2025-07-29 07:05","28943","28755","29022",
"2025-07-29 07:10","29230","28934","29022",
"2025-07-29 07:15","29307","29089","29427",
"2025-07-29 07:20","29457","29233","29427",
"2025-07-29 07:25","29694","29378","29427",
"2025-07-29 07:30","29768","29523","29898",
"2025-07-29 07:35","29931","29659","29898",
"2025-07-29 07:40","30054","29775","29898",
"2025-07-29 07:45","30227","29871","30169",
"2025-07-29 07:50","30226","29978","30169",
"2025-07-29 07:55","30322","30124","30169",
"2025-07-29 08:00","30348","30407","30764",
"2025-07-29 08:05","30502","30586","30764",
"2025-07-29 08:10","30754","30708","30764",
"2025-07-29 08:15","30816","30775","30944",
"2025-07-29 08:20","30924","30817","30944",
"2025-07-29 08:25","30804","30868","30944",
"2025-07-29 08:30","31093","30926","31090",
"2025-07-29 08:35","30982","30983","31090",
"2025-07-29 08:40","30915","31029","31090",
"2025-07-29 08:45","31065","31065","31090",
"2025-07-29 08:50","31132","31098","31090",
"2025-07-29 08:55","31118","31136","31090",
"2025-07-29 09:00","31518","31263","31437",
"2025-07-29 09:05","31394","31303","31437",
"2025-07-29 09:10","31423","31332","31437",
"2025-07-29 09:15","31474","31350","31487",
"2025-07-29 09:20","31380","31363","31487",
"2025-07-29 09:25","31414","31377","31487",
"2025-07-29 09:30","31575","31391","31509",
"2025-07-29 09:35","31657","31402","31509",
"2025-07-29 09:40","31613","31403","31509",
"2025-07-29 09:45","31562","31396","31687",
"2025-07-29 09:50","31586","31395","31687",
"2025-07-29 09:55","31774","31418","31687",
