Seguimiento de la demanda de energía eléctrica (MW)

Hora,Real,Prevista,Programada
"2025-07-22 21:00","35944","35988","36158",
"2025-07-22 21:05","35778","35909","36158",
"2025-07-22 21:10","35932","35856","36158",
"2025-07-22 21:15","36045","35831","36124",
"2025-07-22 21:20","35973","35812","36124",
"2025-07-22 21:25","35978","35779","36124",
"2025-07-22 21:30","35846","35731","36068",
"2025-07-22 21:35","35707","35670","36068",
"2025-07-22 21:40","35811","35599","36068",
"2025-07-22 21:45","36043","35517","35814",
"2025-07-22 21:50","35737","35433","35814",
"2025-07-22 21:55","35771","35354","35814",
"2025-07-22 22:00","35748","35328","35502",
"2025-07-22 22:05","35678","35241","35502",
"2025-07-22 22:10","35654","35122","35502",
"2025-07-22 22:15","35483","34971","35388",
"2025-07-22 22:20","35315","34801","35388",
"2025-07-22 22:25","35272","34627","35388",
"2025-07-22 22:30","35135","34448","35005",
"2025-07-22 22:35","35028","34259","35005",
"2025-07-22 22:40","34776","34057","35005",
"2025-07-22 22:45","34503","33841","34132",
"2025-07-22 22:50","34383","33627","34132",
"2025-07-22 22:55","34043","33434","34132",
"2025-07-22 23:00","33624","33217","33360",
"2025-07-22 23:05","33316","33043","33360",
"2025-07-22 23:10","33173","32847","33360",
"2025-07-22 23:15","32964","32630","32672",
"2025-07-22 23:20","32798","32411","32672",
"2025-07-22 23:25","32599","32210","32672",
"2025-07-22 23:30","32345","32027","31982",
"2025-07-22 23:35","32033","31848","31982",
"2025-07-22 23:40","31943","31658","31982",
"2025-07-22 23:45","31636","31457","31263",
"2025-07-22 23:50","31437","31281","31263",
"2025-07-22 23:55","31179","31166","31263",
"2025-07-23 00:00","31062","30964","30943",
"2025-07-23 00:05","30907","30918","30943",
"2025-07-23 00:10","31091","30827","30943",
"2025-07-23 00:15","31154","30692","30569",
"2025-07-23 00:20","31346","30541","30569",
"2025-07-23 00:25","31219","30400","30569",
"2025-07-23 00:30","30824","30269","30198",
"2025-07-23 00:35","30508","30139","30198",
"2025-07-23 00:40","30391","29999","30198",
"2025-07-23 00:45","30379","29850","29895",
"2025-07-23 00:50","30097","29707","29895",
"2025-07-23 00:55","29933","29582","29895",
"2025-07-23 01:00","29855","29358","29119",
"2025-07-23 01:05","29645","29254","29119",
"2025-07-23 01:10","29618","29132","29119",
"2025-07-23 01:15","29485","28994","28800",
"2025-07-23 01:20","29367","28850","28800",
"2025-07-23 01:25","29037","28712","28800",
"2025-07-23 01:30","28905","28580","28534",
"2025-07-23 01:35","28754","28449","28534",
"2025-07-23 01:40","28477","28317","28534",
"2025-07-23 01:45","28584","28182","28453",
"2025-07-23 01:50","28370","28053","28453",
"2025-07-23 01:55","28325","27941","28453",
"2025-07-23 02:00","28085","27762","27941",
"2025-07-23 02:05","28203","27670","27941",
"2025-07-23 02:10","28137","27574","27941",
"2025-07-23 02:15","27951","27474","27717",
"2025-07-23 02:20","27996","27377","27717",
"2025-07-23 02:25","27852","27291","27717",
"2025-07-23 02:30","27694","27214","27403",
"2025-07-23 02:35","27590","27146","27403",
"2025-07-23 02:40","27518","27084","27403",
"2025-07-23 02:45","27455","27028","27531",
"2025-07-23 02:50","27488","26975","27531",
"2025-07-23 02:55","27423","26925","27531",
"2025-07-23 03:00","27393","26827","27267",
"2025-07-23 03:05","27377","26779","27267",
"2025-07-23 03:10","27303","26728","27267",
"2025-07-23 03:15","27224","26675","27263",
"2025-07-23 03:20","27044","26626","27263",
"2025-07-23 03:25","26923","26586","27263",
"2025-07-23 03:30","26810","26556","27165",
"2025-07-23 03:35","26978","26518","27165",
"2025-07-23 03:40","26911","26456","27165",
