Seguimiento de la demanda de energía eléctrica (MW)

Hora,Real,Prevista,Programada
"2025-07-24 21:00","33192","33419","33189",
"2025-07-24 21:05","33109","33397","33189",
"2025-07-24 21:10","33183","33384","33189",
"2025-07-24 21:15","33132","33381","33198",
"2025-07-24 21:20","33230","33379","33198",
"2025-07-24 21:25","33239","33369","33198",
"2025-07-24 21:30","33127","33353","33040",
"2025-07-24 21:35","33101","33321","33040",
"2025-07-24 21:40","33046","33268","33040",
"2025-07-24 21:45","33156","33193","32865",
"2025-07-24 21:50","33139","33126","32865",
"2025-07-24 21:55","33012","33097","32865",
"2025-07-24 22:00","32812","33143","32735",
"2025-07-24 22:05","32712","33140","32735",
"2025-07-24 22:10","32646","33073","32735",
"2025-07-24 22:15","32420","32944","32382",
"2025-07-24 22:20","32198","32779","32382",
"2025-07-24 22:25","32153","32605","32382",
"2025-07-24 22:30","32091","32422","31641",
"2025-07-24 22:35","31892","32242","31641",
"2025-07-24 22:40","31858","32077","31641",
"2025-07-24 22:45","31611","31928","30825",
"2025-07-24 22:50","31573","31738","30825",
"2025-07-24 22:55","31277","31451","30825",
"2025-07-24 23:00","31174","31027","30459",
"2025-07-24 23:05","30917","30654","30459",
"2025-07-24 23:10","30771","30395","30459",
"2025-07-24 23:15","30432","30252","30061",
"2025-07-24 23:20","30244","30159","30061",
"2025-07-24 23:25","29895","30050","30061",
"2025-07-24 23:30","29678","29926","29599",
"2025-07-24 23:35","29505","29805","29599",
"2025-07-24 23:40","29262","29706","29599",
"2025-07-24 23:45","29098","29627","29115",
"2025-07-24 23:50","29002","29550","29115",
"2025-07-24 23:55","28667","29452","29115",
"2025-07-25 00:00","28620","29189","28974",
"2025-07-25 00:05","28703","29066","28974",
"2025-07-25 00:10","28748","28953","28974",
"2025-07-25 00:15","28771","28849","28661",
"2025-07-25 00:20","28777","28745","28661",
"2025-07-25 00:25","28438","28630","28661",
"2025-07-25 00:30","28225","28504","28106",
"2025-07-25 00:35","28082","28377","28106",
"2025-07-25 00:40","27962","28260","28106",
"2025-07-25 00:45","27689","28153","27500",
"2025-07-25 00:50","27539","28028","27500",
"2025-07-25 00:55","27577","27860","27500",
"2025-07-25 01:00","27427","27536","27116",
"2025-07-25 01:05","27426","27325","27116",
"2025-07-25 01:10","27175","27157","27116",
"2025-07-25 01:15","27219","27032","26917",
"2025-07-25 01:20","27074","26924","26917",
"2025-07-25 01:25","27083","26808","26917",
"2025-07-25 01:30","26754","26685","26408",
"2025-07-25 01:35","26569","26569","26408",
"2025-07-25 01:40","26464","26476","26408",
"2025-07-25 01:45","26366","26407","25962",
"2025-07-25 01:50","26382","26322","25962",
"2025-07-25 01:55","26139","26186","25962",
"2025-07-25 02:00","26204","25914","25687",
"2025-07-25 02:05","25919","25727","25687",
"2025-07-25 02:10","25787","25594","25687",
"2025-07-25 02:15","25703","25517","25451",
"2025-07-25 02:20","25701","25463","25451",
"2025-07-25 02:25","25758","25402","25451",
"2025-07-25 02:30","25462","25332","25259",
"2025-07-25 02:35","25283","25260","25259",
"2025-07-25 02:40","25144","25190","25259",
"2025-07-25 02:45","25024","25121","25089",
"2025-07-25 02:50","25144","25065","25089",
"2025-07-25 02:55","25246","25032","25089",
"2025-07-25 03:00","25005","24967","24824",
"2025-07-25 03:05","25082","24957","24824",
"2025-07-25 03:10","24886","24926","24824",
"2025-07-25 03:15","24971","24872","24724",
"2025-07-25 03:20","24834","24811","24724",
"2025-07-25 03:25","24755","24758","24724",
"2025-07-25 03:30","24686","24712","24631",
"2025-07-25 03:35","24705","24672","24631",
"2025-07-25 03:40","24755","24635","24631",
"2025-07-25 03:45","24607","24604","24529",
"2025-07-25 03:50","24544","24569","24529",
"2025-07-25 03:55","24564","24524","24529",
"2025-07-25 04:00","24534","24442","24416",
"2025-07-25 04:05","24447","24392","24416",
"2025-07-25 04:10","24656","24360","24416",
"2025-07-25 04:15","24457","24347","24371",
"2025-07-25 04:20","24516","24340","24371",
"2025-07-25 04:25","24612","24327","24371",
"2025-07-25 04:30","24420","24307","24344",
"2025-07-25 04:35","24569","24294","24344",
"2025-07-25 04:40","24458","24301","24344",
"2025-07-25 04:45","24424","24328","24357",
"2025-07-25 04:50","24352","24342","24357",
"2025-07-25 04:55","24330","24310","24357",
"2025-07-25 05:00","24351","24221","24423",
"2025-07-25 05:05","24355","24154","24423",
"2025-07-25 05:10","24388","24152","24423",
"2025-07-25 05:15","24519","24215","24517",
"2025-07-25 05:20","24559","24311","24517",
"2025-07-25 05:25","24526","24407","24517",
"2025-07-25 05:30","24499","24502","24618",
