Seguimiento de la demanda de energía eléctrica (MW)

Hora,Real,Prevista,Programada
"2025-07-23 21:00","35479","35627","35773",
"2025-07-23 21:05","35473","35550","35773",
"2025-07-23 21:10","35538","35517","35773",
"2025-07-23 21:15","35272","35526","35722",
"2025-07-23 21:20","35583","35544","35722",
"2025-07-23 21:25","35642","35536","35722",
"2025-07-23 21:30","35563","35502","35445",
"2025-07-23 21:35","35558","35451","35445",
"2025-07-23 21:40","35544","35395","35445",
"2025-07-23 21:45","35457","35332","35310",
"2025-07-23 21:50","35375","35253","35310",
"2025-07-23 21:55","35241","35151","35310",
"2025-07-23 22:00","35103","35065","34933",
"2025-07-23 22:05","34947","34927","34933",
"2025-07-23 22:10","34992","34788","34933",
"2025-07-23 22:15","34754","34649","34487",
"2025-07-23 22:20","34636","34501","34487",
"2025-07-23 22:25","34478","34335","34487",
"2025-07-23 22:30","34301","34149","34028",
"2025-07-23 22:35","34028","33961","34028",
"2025-07-23 22:40","33935","33785","34028",
"2025-07-23 22:45","33740","33621","33334",
"2025-07-23 22:50","33587","33430","33334",
"2025-07-23 22:55","33323","33170","33334",
"2025-07-23 23:00","33123","32799","32317",
"2025-07-23 23:05","33056","32473","32317",
"2025-07-23 23:10","32719","32218","32317",
"2025-07-23 23:15","32457","32035","31795",
"2025-07-23 23:20","32194","31886","31795",
"2025-07-23 23:25","31877","31731","31795",
"2025-07-23 23:30","31697","31572","31368",
"2025-07-23 23:35","31607","31418","31368",
"2025-07-23 23:40","31257","31277","31368",
"2025-07-23 23:45","30912","31149","31019",
"2025-07-23 23:50","30630","31029","31019",
"2025-07-23 23:55","30692","30913","31019",
"2025-07-24 00:00","30429","30654","30474",
"2025-07-24 00:05","30510","30542","30474",
"2025-07-24 00:10","30445","30431","30474",
"2025-07-24 00:15","30523","30319","30164",
"2025-07-24 00:20","30187","30210","30164",
"2025-07-24 00:25","30129","30103","30164",
"2025-07-24 00:30","30025","29999","29847",
"2025-07-24 00:35","29860","29894","29847",
"2025-07-24 00:40","29804","29787","29847",
"2025-07-24 00:45","29415","29676","29435",
"2025-07-24 00:50","29241","29568","29435",
"2025-07-24 00:55","29023","29467","29435",
"2025-07-24 01:00","28966","29253","28768",
"2025-07-24 01:05","28854","29154","28768",
"2025-07-24 01:10","28801","29036","28768",
"2025-07-24 01:15","28763","28900","28293",
"2025-07-24 01:20","28505","28753","28293",
