Seguimiento de la demanda de energía eléctrica (MW)

Hora,Real,Prevista,Programada
"2025-07-25 21:00","31381","31415","31619",
"2025-07-25 21:05","31311","31565","31619",
"2025-07-25 21:10","31371","31631","31619",
"2025-07-25 21:15","31577","31614","31753",
"2025-07-25 21:20","31583","31566","31753",
"2025-07-25 21:25","31384","31542","31753",
"2025-07-25 21:30","31503","31541","31338",
"2025-07-25 21:35","31405","31536","31338",
"2025-07-25 21:40","31418","31501","31338",
"2025-07-25 21:45","31455","31436","31376",
"2025-07-25 21:50","31477","31387","31376",
"2025-07-25 21:55","31409","31400","31376",
"2025-07-25 22:00","31195","31511","31244",
"2025-07-25 22:05","31256","31576","31244",
"2025-07-25 22:10","31031","31555","31244",
"2025-07-25 22:15","31086","31449","30810",
"2025-07-25 22:20","30883","31302","30810",
"2025-07-25 22:25","30504","31158","30810",
"2025-07-25 22:30","30412","31017","30525",
"2025-07-25 22:35","30131","30877","30525",
"2025-07-25 22:40","30101","30738","30525",
"2025-07-25 22:45","29928","30598","29567",
"2025-07-25 22:50","29624","30434","29567",
"2025-07-25 22:55","29497","30219","29567",
"2025-07-25 23:00","29305","29918","29026",
"2025-07-25 23:05","29041","29657","29026",
"2025-07-25 23:10","28882","29454","29026",
"2025-07-25 23:15","28752","29309","28633",
"2025-07-25 23:20","28371","29187","28633",
"2025-07-25 23:25","28252","29057","28633",
"2025-07-25 23:30","28094","28917","27823",
"2025-07-25 23:35","27924","28783","27823",
"2025-07-25 23:40","27839","28670","27823",
"2025-07-25 23:45","27557","28578","27145",
"2025-07-25 23:50","27315","28476","27145",
"2025-07-25 23:55","27411","28333","27145",
"2025-07-26 00:00","27183","28024","26901",
"2025-07-26 00:05","27656","27841","26901",
"2025-07-26 00:10","27788","27697","26901",
"2025-07-26 00:15","27543","27592","26898",
"2025-07-26 00:20","27568","27499","26898",
"2025-07-26 00:25","27472","27391","26898",
"2025-07-26 00:30","27181","27268","26568",
"2025-07-26 00:35","27248","27141","26568",
"2025-07-26 00:40","26977","27022","26568",
"2025-07-26 00:45","26835","26912","26369",
"2025-07-26 00:50","26604","26792","26369",
"2025-07-26 00:55","26272","26646","26369",
"2025-07-26 01:00","26114","26369","25743",
"2025-07-26 01:05","26136","26198","25743",
"2025-07-26 01:10","25974","26056","25743",
"2025-07-26 01:15","26061","25944","25304",
"2025-07-26 01:20","25893","25846","25304",
"2025-07-26 01:25","25756","25744","25304",
"2025-07-26 01:30","25639","25639","25307",
"2025-07-26 01:35","25305","25534","25307",
"2025-07-26 01:40","25390","25430","25307",
"2025-07-26 01:45","25205","25327","24706",
"2025-07-26 01:50","25134","25232","24706",
"2025-07-26 01:55","24947","25150","24706",
"2025-07-26 02:00","24863","25007","24391",
"2025-07-26 02:05","24819","24939","24391",
"2025-07-26 02:10","24734","24861","24391",
"2025-07-26 02:15","24584","24773","24268",
"2025-07-26 02:20","24467","24679","24268",
"2025-07-26 02:25","24420","24587","24268",
"2025-07-26 02:30","24380","24496","23789",
"2025-07-26 02:35","24436","24413","23789",
"2025-07-26 02:40","24416","24344","23789",
"2025-07-26 02:45","24173","24288","23789",
"2025-07-26 02:50","24227","24217","23789",
"2025-07-26 02:55","24098","24104","23789",
"2025-07-26 03:00","24120","23897","23625",
"2025-07-26 03:05","24021","23743","23625",
"2025-07-26 03:10","23950","23638","23625",
"2025-07-26 03:15","23867","23583","23688",
"2025-07-26 03:20","23722","23550","23688",
